Algorithm,Wins (%),Losses (%),Draws (%),Avg Game Time (s),Avg Moves
Minimax,97.0,3.0,0.0,1.4036,11.67
Minimax+AB,95.0,5.0,0.0,0.3098,12.21
Q-learning (20k episodes),50.0,50.0,0.0,0.0635,16.42
Q-learning (60k episodes),53.0,47.0,0.0,0.1438,15.15
Q-learning (100k episodes),50.0,50.0,0.0,0.1871,16.90
